terminal_voltage,terminal_current,temp,charge_current,charge_voltage,time,capacity,cycle,SoH
4.0147,-1.998,28.8,1.998,-0.0023,00:00:00,0.0,1,0.76885
4.006,-1.9989,28.8,1.9989,-0.0216,00:00:00,0.0003,1,0.76885
3.9992,-1.9992,28.8,1.9992,0.0288,00:00:01,0.0006,1,0.76885
3.9945,-1.9993,28.8,1.9993,0.0349,00:00:01,0.0008,1,0.76885
3.9909,-1.9994,28.8,1.9994,0.0166,00:00:02,0.0011,1,0.76885
3.9877,-1.9994,28.8,1.9994,0.0289,00:00:02,0.0014,1,0.76885
3.9848,-1.9994,28.8,1.9994,0.0011,00:00:03,0.0017,1,0.76885
3.9822,-1.9995,28.8,1.9995,0.0073,00:00:03,0.0019,1,0.76885
3.9799,-1.9995,28.8,1.9995,-0.0049,00:00:04,0.0022,1,0.76885
3.9776,-1.9995,28.8,1.9995,-0.0138,00:00:04,0.0025,1,0.76885
3.9755,-1.9996,28.8,1.9996,0.0213,00:00:05,0.0028,1,0.76885
3.9735,-1.9996,28.8,1.9996,0.0097,00:00:05,0.0031,1,0.76885
3.9716,-1.9996,28.8,1.9996,-0.0371,00:00:06,0.0033,1,0.76885
3.9698,-1.9997,28.8,1.9997,0.0083,00:00:06,0.0036,1,0.76885
3.968,-1.9997,28.8,1.9997,-0.0296,00:00:07,0.0039,1,0.76885
3.9663,-1.9997,28.8,1.9997,0.0292,00:00:07,0.0042,1,0.76885
3.9647,-1.9997,28.8,1.9997,0.0237,00:00:08,0.0044,1,0.76885
3.9631,-1.9997,28.8,1.9997,-0.0266,00:00:08,0.0047,1,0.76885
3.9615,-1.9997,28.8,1.9997,-0.0144,00:00:09,0.005,1,0.76885
3.96,-1.9997,28.8,1.9997,-0.0054,00:00:09,0.0053,1,0.76885
3.9586,-1.9997,28.8,1.9997,0.0002,00:00:10,0.0056,1,0.76885
3.9572,-1.9996,28.8,1.9996,0.0165,00:00:10,0.0058,1,0.76885
3.9558,-1.9996,28.8,1.9996,-0.0263,00:00:11,0.0061,1,0.76885
3.9544,-1.9996,28.8,1.9996,-0.0082,00:00:11,0.0064,1,0.76885
3.953,-1.9996,28.8,1.9996,-0.0005,00:00:12,0.0067,1,0.76885
3.9517,-1.9996,28.8,1.9996,-0.0108,00:00:12,0.0069,1,0.76885
3.9505,-1.9995,28.8,1.9995,0.0157,00:00:13,0.0072,1,0.76885
3.9492,-1.9995,28.8,1.9995,-0.0169,00:00:13,0.0075,1,0.76885
3.948,-1.9995,28.8,1.9995,0.037,00:00:14,0.0078,1,0.76885
3.9467,-1.9995,28.8,1.9995,0.0132,00:00:14,0.0081,1,0.76885
3.9455,-1.9995,28.8,1.9995,-0.0132,00:00:15,0.0083,1,0.76885
3.9443,-1.9995,28.8,1.9995,0.0275,00:00:15,0.0086,1,0.76885
3.9432,-1.9995,28.8,1.9995,0.0207,00:00:16,0.0089,1,0.76885
3.942,-1.9995,28.8,1.9995,0.0233,00:00:16,0.0092,1,0.76885
3.9408,-1.9995,28.8,1.9995,-0.0128,00:00:17,0.0094,1,0.76885
3.9397,-1.9995,28.8,1.9995,-0.0059,00:00:17,0.0097,1,0.76885
3.9386,-1.9995,28.8,1.9995,-0.0026,00:00:18,0.01,1,0.76885
3.9374,-1.9996,28.8,1.9996,-0.0092,00:00:18,0.0103,1,0.76885
3.9364,-1.9996,28.8,1.9996,-0.0019,00:00:19,0.0106,1,0.76885
3.9353,-1.9996,28.8,1.9996,-0.0363,00:00:19,0.0108,1,0.76885
3.9342,-1.9996,28.8,1.9996,-0.0225,00:00:20,0.0111,1,0.76885
3.9331,-1.9997,28.8,1.9997,0.0087,00:00:20,0.0114,1,0.76885
3.9321,-1.9997,28.8,1.9997,-0.011,00:00:21,0.0117,1,0.76885
3.9311,-1.9997,28.8,1.9997,0.0081,00:00:21,0.0119,1,0.76885
3.9301,-1.9997,28.8,1.9997,0.0026,00:00:22,0.0122,1,0.76885
3.9291,-1.9997,28.8,1.9997,-0.0332,00:00:22,0.0125,1,0.76885
3.9281,-1.9997,28.8,1.9997,-0.0044,00:00:23,0.0128,1,0.76885
3.9272,-1.9997,28.8,1.9997,-0.0164,00:00:23,0.0131,1,0.76885
3.9262,-1.9997,28.8,1.9997,-0.0115,00:00:24,0.0133,1,0.76885
3.9253,-1.9997,28.8,1.9997,0.0162,00:00:24,0.0136,1,0.76885
3.9243,-1.9997,28.8,1.9997,-0.0328,00:00:25,0.0139,1,0.76885
3.9234,-1.9997,28.8,1.9997,-0.0176,00:00:25,0.0142,1,0.76885
3.9225,-1.9996,28.8,1.9996,-0.0156,00:00:26,0.0144,1,0.76885
3.9215,-1.9996,28.8,1.9996,-0.0061,00:00:26,0.0147,1,0.76885
3.9206,-1.9996,28.8,1.9996,0.0153,00:00:27,0.015,1,0.76885
3.9196,-1.9996,28.8,1.9996,-0.0001,00:00:27,0.0153,1,0.76885
3.9188,-1.9995,28.8,1.9995,-0.0362,00:00:28,0.0156,1,0.76885
3.9179,-1.9995,28.8,1.9995,-0.0002,00:00:28,0.0158,1,0.76885
3.917,-1.9995,28.8,1.9995,0.0043,00:00:29,0.0161,1,0.76885
