terminal_voltage,terminal_current,temp,charge_current,charge_voltage,time,capacity,cycle,SoH
4.0936,-0.9997,27.9,0.9997,-0.0016,00:00:00,0.0,1,0.8149
4.0884,-0.9998,27.9,0.9998,-0.0017,00:00:00,0.0001,1,0.8149
4.0843,-0.9998,27.9,0.9998,0.0019,00:00:01,0.0003,1,0.8149
4.0815,-0.9999,27.9,0.9999,-0.0018,00:00:01,0.0004,1,0.8149
4.0792,-0.9999,27.9,0.9999,0.0007,00:00:02,0.0006,1,0.8149
4.0772,-0.9999,27.9,0.9999,0.0002,00:00:02,0.0007,1,0.8149
4.0754,-0.9999,27.7,0.9999,0.0015,00:00:03,0.0008,1,0.8149
4.0738,-0.9999,27.7,0.9999,-0.0015,00:00:03,0.001,1,0.8149
4.0723,-0.9999,27.7,0.9999,0.0014,00:00:04,0.0011,1,0.8149
4.0709,-0.9999,27.7,0.9999,-0.0025,00:00:04,0.0012,1,0.8149
4.0696,-0.9999,27.7,0.9999,-0.0004,00:00:05,0.0014,1,0.8149
4.0683,-0.9999,27.7,0.9999,-0.003,00:00:05,0.0015,1,0.8149
4.067,-0.9999,27.7,0.9999,-0.0019,00:00:06,0.0017,1,0.8149
4.0658,-0.9999,27.7,0.9999,-0.0014,00:00:06,0.0018,1,0.8149
4.0647,-0.9999,27.7,0.9999,-0.0029,00:00:07,0.0019,1,0.8149
4.0636,-0.9999,27.7,0.9999,-0.002,00:00:07,0.0021,1,0.8149
4.0626,-0.9999,27.7,0.9999,-0.0033,00:00:08,0.0022,1,0.8149
4.0615,-0.9999,27.7,0.9999,-0.0007,00:00:08,0.0024,1,0.8149
4.0605,-0.9999,27.7,0.9999,-0.0011,00:00:09,0.0025,1,0.8149
4.0596,-0.9999,27.9,0.9999,-0.002,00:00:09,0.0026,1,0.8149
4.0587,-0.9999,27.9,0.9999,-0.0016,00:00:10,0.0028,1,0.8149
4.0577,-0.9999,27.9,0.9999,-0.0035,00:00:10,0.0029,1,0.8149
4.0568,-0.9999,27.9,0.9999,-0.0006,00:00:11,0.0031,1,0.8149
4.056,-0.9999,27.9,0.9999,-0.0032,00:00:11,0.0032,1,0.8149
4.0551,-0.9999,27.9,0.9999,-0.0028,00:00:12,0.0033,1,0.8149
4.0542,-0.9999,27.9,0.9999,-0.0036,00:00:12,0.0035,1,0.8149
4.0534,-0.9999,27.9,0.9999,-0.0014,00:00:13,0.0036,1,0.8149
4.0526,-0.9999,27.9,0.9999,0.0021,00:00:13,0.0037,1,0.8149
4.0518,-0.9999,27.9,0.9999,-0.0002,00:00:14,0.0039,1,0.8149
4.051,-0.9999,27.9,0.9999,-0.0004,00:00:14,0.004,1,0.8149
4.0502,-0.9999,27.9,0.9999,-0.0016,00:00:15,0.0042,1,0.8149
4.0495,-0.9999,27.9,0.9999,-0.0012,00:00:15,0.0043,1,0.8149
4.0487,-0.9999,27.9,0.9999,-0.0031,00:00:16,0.0044,1,0.8149
4.048,-0.9999,27.9,0.9999,-0.0011,00:00:16,0.0046,1,0.8149
4.0473,-0.9999,27.9,0.9999,0.0027,00:00:17,0.0047,1,0.8149
4.0466,-0.9999,27.9,0.9999,-0.0003,00:00:17,0.0049,1,0.8149
4.0459,-0.9999,27.9,0.9999,-0.0013,00:00:18,0.005,1,0.8149
4.0452,-0.9999,27.9,0.9999,-0.0007,00:00:18,0.0051,1,0.8149
4.0445,-0.9999,27.9,0.9999,0.0007,00:00:19,0.0053,1,0.8149
4.0438,-0.9999,27.7,0.9999,0.0016,00:00:19,0.0054,1,0.8149
4.0432,-0.9999,27.9,0.9999,0.0025,00:00:20,0.0056,1,0.8149
4.0425,-0.9999,27.7,0.9999,0.0007,00:00:20,0.0057,1,0.8149
